id,trigger,conditions,script,text,options,notes
rebelrats_tikusII_InteractionText,MarketPostOpen,"$hasMarket
$market.id == tikusII_market
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock","The spaceport saw meagre activity outside of the odd trader or shuttle making their way from the few orbital installations above, yet, the spaceport was not a representative of the whole. The town below, watched over by the distant pantheon, was surrounded by swaths of farmland, built over cleared jungle life.",,
rebelrats_tikusIII_InteractionText,MarketPostOpen,"$hasMarket
$market.id == tikusIII_market
$player.transponderOn
!$faction.isNeutralFaction","$tradeMode = OPEN 0
FireBest MarketPostDock","From orbit, what little human civilisation that could be found were huddled around the few geysers, marked by a few vestiges of light. On the way from orbit, it became clear that those streaks of grey snaking its way through the planet's surface were gas pipes dutifully shunting its contents while a streak of lights marked what little road infrastructure was built.

Landing on one of the destitute landing pad outside the settlement, one of the settlers came to meet the shuttle crew and act as a guide. A simple glance at its gates hinted that one did not need to enter to know that their stay on the settlement would be unpleasant, menial at best.

",,
,,,,,,
#MARKET FLAVOR TEXT,,,,,,
rebelrats_rattusFlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == rattus_market","AddText ""The commercial plaza wailed with energy. Traders from all walks of life belched out deals and advertised their wares to would be customers. Holo-ads, and even archaic posters clung around the placa, dutifully displayed their contents, blocked every now and then by the ears of the locals."" marketFlavorTextColor",,,
rebelrats_malusFlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == malus_market","AddText ""The expansive underground plaza  of New Eden Cove bristled with life, disproportionately populated by pirates and undesirables eeking out a life in this semi-underground installation. Passing through the plaza, the atmosphere was filled with a menagerie of chatter, dealings, and holo-ads were draped along the plaza's walls. Shoddily built structures that latched on the plaza walls were connected by an hodgepodge system of catwalks, ladders, and elevators. On the second level, Courtesans greet oncoming spacers, goading them for a good time."" marketFlavorTextColor",,,
rebelrats_nutriaFlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == nutria_market","AddText ""The merchant district of Spalax city is a sight to behold. Towering hab blocks and commercial skyscrapers ruled the skyline, reminding spacers and locals alike of their grandeur. On the ground, establishments of all sizes nestled themselves among each other, from the smallest of food stalls, to massive concourses filled with an eclectic selection of goods and services. A glimpse of Federal Navy Servicemen among the crowds indicate an active force to keep order within the city."" marketFlavorTextColor",,,
rebelrats_magawaFlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == magawa_market","AddText ""Orbital berths and passing ships filled much of the view from the thick windows of the port. Second to the berths, giant domed cities announced their presence with their sheer scale, but also as a reminder of the past. Moving ahead, military personnel filled the lobbies, shunting about with or without equipment. The odd trader, mercenary, or civilian break up the monotony of purple, walking up and down the deeper levels, some catching a ride on the transport carts that zip around the port."" marketFlavorTextColor",,,
rebelrats_rodentiaFlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == rodentia_market","AddText ""The air within Lobby Number 6 of the massive station is filled with the familiar scent of fuel and the hustle of traders dashing in and out of the central bazaar. Out the station's window, ships, both military and civilian, dance among each other as they fetch fuel or make way for repairs. Persean traders move away from the promenade as security make their routine patrol around the docks."" marketFlavorTextColor",,,
rebelrats_outerstationFlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == outerstation_market","AddText ""The market facilities of the station could only be described as utilitarian with convenience at the forefront, yet at the same time, spartan in design. More importantly, the market facilities interlinked with the rest of the station through corridors like a hub of a wheel with one marked and color coded by paint and harsh neon lights."" marketFlavorTextColor",,,
rebelrats_tikusFlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == tikus_market","AddText ""Recently unloaded cargo makes its way to its rightful owners in the merchant's district after passing numerous checkpoints. Holo-boards burped out information about news from other systems, others displayed a wall of text about the latest deals on the market. Massive outlets neatly organized the offices of various companies that inhabited the station, all interconnected by skyways."" marketFlavorTextColor",,,
rebelrats_tikusII_FlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == tikusII_market","AddText ""Spacers and locals mingled in the central plaza where shops of all manners were set up, dotting the mainstreet leading to it with colorful curtains, holo-boards, and flags. It easily reminded one of the many Luddic majority worlds of the Persean Sector, yet the ears and tails of its inhabitants were a cosntant reminder that they were on a Krysan settlement."" marketFlavorTextColor",,,
rebelrats_tikusIII_FlavorText,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.id == tikusIII_market","AddText ""The atmosphere in the settlment was rightfully gloomy, the people not any different as they went on with their life. What little activity came from the little cove of market stalls and vendors selling trinkets, food, or meagre hardware. In the distance, lights snaking up the mountain show what little industry this planet had."" marketFlavorTextColor",,,
,,,,,,
# stations,,,,,,
rebelrats_powerstationOpenDialog,OpenInteractionDialog,$customType == rebelrats_powerstation,"ShowDefaultVisual
SetShortcut rebelrats_powerstation_Leave ""ESCAPE""",As your fleet approaches the power station you receive a warning notification to divert your current course with the gunnery officer warning that several targetting lasers have painted the fleet. Your executive officer advises you not to escalate further.,"0:rebelrats_powerstation_Leave:""Divert course.""",
rebelrats_powerstation_Leave,DialogOptionSelected,$option == rebelrats_powerstation_Leave,DismissDialog,,,
#END stations,,,,,,
,,,,,,
# Dialogues,,,,,,
rebelrats_nazarDialogues,PopulateOptions,"$isPerson
$id == rebelrats_nazarin",,"
What should have been a typical meeting turned into a peculiarity. Instead of a normal holovid, an image of a shoddily drawn character with rodent ears greets you and your crew with it lighting up whenever she spoke.

""Ahem! my apolocheese. Welcome, starfarer! I am your assigned Foreign Relations Officer, Nazarin Dess. How may I help you?""","rebelrats_nazar_aboutKrysa:""Can I ask something about Krysa?""
rebelrats_nazar_aboutRats:""Why are you a picture?""
rebelrats_nazar_cheese:""Do you like cheese?""
rebelrats_nazar_escortOpt:""I'm looking to hire some muscle.""",
rebelrats_nazar_aboutKrysa,DialogOptionSelected,$option == rebelrats_nazar_aboutKrysa,,"One can almost imagine the ears of the shoddily drawn rat perking up in anticipated silence after hearing the question. A subtle clink of a cup in the background can be heard as the image lit up again as the person spoke.

""Hoh... What may be of your interest with Krysa starfarer. May it be history, or our culture and what's its?""

The voice was almost boisterous as if they've puffed up their chest. It was almost reassuringly insulting that someone was this energetic in this decaying sector. You wonder if they even know the current state of the sector.","rebelrats_nazar_aboutKrysaoverview1:""I have read the pamphlet packets, but I want to hear from a Krysan what Krysa is.""
rebelrats_nazar_aboutKrysafood:""I'm curious, what exactly do Krysans eat. Do they like cheese as much as in the stories?""
rebelrats_nazar_aboutKrysadomain:""I have read the info packets about Krysa, but is Krysa a former Domain colony?""",
rebelrats_nazar_aboutKrysaoverview1,DialogOptionSelected,$option == rebelrats_nazar_aboutKrysaoverview1,,"It didn't take long for the image to light up again. Her voice had become more energetic, as if some curtain had been unfurled. The shoddy drawing then reserves itself to the corner as an infographic slides portraying six coat of arms under the Krysan flag. You felt as if a mistake had been made as she took an audibly long breath.

""As you may have read on the information pamphlets, Krysa is the seat of power for the Federated States of Krysa and houses the Directorial Assembly, the governing entity of the nation. They are the collective members of the 6 founding states, namely: The Kaharian Principality, The Alenian Federal Republic, United Clans of Sandar, Kingdom of Taledia, Republic of Zestiel, and the Collective Houses of the Neusian Ritters.""

A brief pause lingered before she continued.

""Still following me, Starfarer?""",rebelrats_nazar_aboutKrysaoverview2:Continue listening,
rebelrats_nazar_aboutKrysaoverview2,DialogOptionSelected,$option == rebelrats_nazar_aboutKrysaoverview2,,"An audible clunk was heard before the infographic switches to the next slide. It was more expansive, portraying what seems to be a map of Krysa's geography and key landmarks. Aside from that, a manual presentation in this day and age? It makes one wonder if the rest of the planet is like her, using archaic trinkets and doodads in their daily lives.

""The closest example that I could compare to Krysa, if you may, is Gilead. The planet used to be barren believe it or not! Its surface was severely ravaged during the Penance War. Yet, by the will of the gods and resolute determination, the planet was restored to the beauty that it is today through the Ratze-Potkan Rejuvenation Program.""

Pausing for a moment, a flip of the page can be heard right before she continued to speak. Your group of officers show a mix of intrigue and a rising sense of boredom.

""You can see the damage today, especially from orbit. Mostly by the work of abominable machines, with a handful of the impact sites having been converted into memorials such as the Grand Memorial Park that I oblige all of you to visit.""","rebelrats_nazar_aboutKrysaoverview3:""Yeah...""",
rebelrats_nazar_aboutKrysaoverview3,DialogOptionSelected,$option == rebelrats_nazar_aboutKrysaoverview3,FireAll PopulateOptions,"There were two clinks heard. The next slide was a list of the local bars, resorts, hotels, or local attractions.

""If I may, I can see that your crew are getting restless. I would  ideally recommend staying here at the starport mainland where hotels and resorts are widely available, but, for today I suggest taking a shuttle or a tram to the tip of the peninsula. 

The crowds there are smaller and the beaches are equally beautiful and sport calmer waters. That is, if you can contend with smaller resorts.""

Another clink and the slides disappears to be replaced by Nazarin's portrait.

""Thank you for listening, Starfarer.""",,
,,,,,,
rebelrats_nazar_aboutKrysafood,DialogOptionSelected,$option == rebelrats_nazar_aboutKrysafood,FireAll PopulateOptions,"""Oh hoh, absolutely! Cheese has been ingrained in Krysan culture for eons, Starfarer. Festivals and theatrics have based themselves on cheese and its makings.

From Cheddar, all the way to the delicious Pecorino Romano, we welcome any and all types because we love all cheese equally!""",,
rebelrats_nazar_aboutKrysadomain,DialogOptionSelected,$option == rebelrats_nazar_aboutKrysadomain,FireAll PopulateOptions,"""Not to my knowledge, no, I don't believe that Krysa was ever a Domain colony. The people put their life and blood into creating what Krysa is today outside of any Domain meddling.""

Despite a slight pause, she continued before you were able to ask any follow up questions as your crew pondered, some distracted by a passing schoolbus.

""However, I can request a shuttle to take you to the Fialot Grand Library if you wish to inquire further. The scholars there are more knowledgeable on the topic than I am.""",,
,,,,,,
rebelrats_nazar_aboutRats,DialogOptionSelected,$option == rebelrats_nazar_aboutRats,,"""Oh! Ehehehe, the children of a local school drew it for me. I figured it adds character, so I kept it.""

Her response was immediate, as if planned. While it wasn't uncommon to find an oddball pirate to run with an unconventional look, it is odder to find one being used by a Foreign Relations Officer in official work.","rebelrats_nazar_aboutRats2:""Right, it adds character.""",
rebelrats_nazar_aboutRats2,DialogOptionSelected,$option == rebelrats_nazar_aboutRats2,FireAll PopulateOptions,"""Oh hoh, I can hear the doubt in your voice, but I assure you that the children love it and I make sure that other officers take the same approach!""",,
,,,,,,
rebelrats_nazar_cheese,DialogOptionSelected,$option == rebelrats_nazar_cheese,FireAll PopulateOptions,"Almost on queue, ruffling of plastic can be heard through the audio, followed by the familiar sound of nibbling followed by the familiar crumpling of a bag.

""Yes, and my favorite is Cheddar. It is always a sign of a Gouda day!""",,
,,,,,,
rebelrats_nazar_escortOpt,DialogOptionSelected,"$option == rebelrats_nazar_escortOpt
$faction.relValue < 0.3",FireAll PopulateOptions,"""Sorry, I am not permitted to sell our services to would be strangers, perhaps bettering yourself is your option for now.""",,
rebelrats_nazar_escortOptSuccess,DialogOptionSelected,"$option == rebelrats_nazar_escortOpt
$faction.relValue >= 0.3","SetStoryOption rebelrats_nazar_storyPointEscort general ""What does this text mean""
rebelrats_doIsTrueCheck $rebelrats_gotOfficer rebelrats_nazar_storyPointEscort","""Hoh? Interesting. Would you like to be patched to a general selection, or might you be interested in our curated list for something more specific? Although! Keep in mind you'll need to be in good terms with us for the good stuff.""","rebelrats_nazar_buyEscortCredit:""Let me look at the general selection""
rebelrats_nazar_useRelEscort:""Can I see that curated list? I do have something in mind.""
rebelrats_nazar_storyPointEscort:""The Heavenly Gods on Rodentia already knows the answer!""
rebelrats_nazar_declineEscort:""Nevermind, can I ask something else?""",
rebelrats_nazar_denyEscortOpt,DialogOptionSelected,"$option == rebelrats_nazar_buyEscortCredit
$rebelrats_gotRocimar == true
$rebelrats_gotRufodorsalis == true
$rebelrats_gotMallomy == true
$rebelrats_gotMurinae == true
$rebelrats_gotMastomys == true",,"""Ehe, unfortunately, we don't have anyone available.""

One can almost imagine a shrug from the portrait as she quiets herself before the sound of a candy wrapper momentarily breaks the silence.","rebelrats_nazar_escortOpt:""Unfortunate""",
rebelrats_nazar_buyEscortCredit,DialogOptionSelected,$option == rebelrats_nazar_buyEscortCredit,"DoCanAffordCheck 75000 rebelrats_nazar_hireRocimar
DoCanAffordCheck 100000 rebelrats_nazar_hireRufodorsalis
DoCanAffordCheck 132000 rebelrats_nazar_hireMallomy
DoCanAffordCheck 256000 rebelrats_nazar_hireMurinae
DoCanAffordCheck 290000 rebelrats_nazar_hireMastomys
rebelrats_doIsTrueCheck $rebelrats_gotRocimar rebelrats_nazar_hireRocimar
rebelrats_doIsTrueCheck $rebelrats_gotRufodorsalis rebelrats_nazar_hireRufodorsalis
rebelrats_doIsTrueCheck $rebelrats_gotMallomy rebelrats_nazar_hireMallomy
rebelrats_doIsTrueCheck $rebelrats_gotMurinae rebelrats_nazar_hireMurinae
rebelrats_doIsTrueCheck $rebelrats_gotMastomys rebelrats_nazar_hireMastomys","""Here's our general list! All the groups on this list come fully equipped and crewed. However! Do keep in mind that they can be only hired once.""","rebelrats_nazar_hireRocimar:Hire Rocimar Company (75k, Rattus and Mellivora)
rebelrats_nazar_hireRufodorsalis:Hire Rufodorsalis Air Arm (100k, 2 Mellivoras)
rebelrats_nazar_hireMallomy:Hire Mallomy Free Movers (132k, Pybara, 2 Patrons)
rebelrats_nazar_hireMurinae:Hire Murinae Galloglass Raiders (236k, Nebula, 2 Mus Rattus, 1 Patron)
rebelrats_nazar_hireMastomys:Hire Mastomys Grand Company (290k, Marmot, Mellivora, 2 Rattus, Monax)
rebelrats_nazar_escortOpt: ""Nevermind""",
rebelrats_nazar_hireRocimar,DialogOptionSelected,$option == rebelrats_nazar_hireRocimar,"RemoveCommodity credits 75000
rebelrats_hireMercenary rocimar
$rebelrats_gotRocimar = true","""Excellent choice! The Rocimar Company will be happy to escort you in the void.""","rebelrats_nazar_buyEscortCredit:Return to list
rebelrats_nazar_escortOpt:""Can I ask for something else?""",
rebelrats_nazar_hireRufodorsalis,DialogOptionSelected,$option == rebelrats_nazar_hireRufodorsalis,"RemoveCommodity credits 100000
rebelrats_hireMercenary rufodorsalis
$rebelrats_gotRufodorsalis = true","""Mmm, cheese.. Oh, sorry! Yes, they will eagerly aid you battle with their finest pilots!""","rebelrats_nazar_buyEscortCredit:Return to list
rebelrats_nazar_escortOpt:""Can I ask for something else?""",
rebelrats_nazar_hireMallomy,DialogOptionSelected,$option == rebelrats_nazar_hireMallomy,"RemoveCommodity credits 132000
rebelrats_hireMercenary mallomy
$rebelrats_gotMallomy = true","""I see you're looking to haul lots of cargo. These guys will carry it for you anywhere with economical efficiency!""","rebelrats_nazar_buyEscortCredit:Return to list
rebelrats_nazar_escortOpt:""Can I ask for something else?""",
rebelrats_nazar_hireMurinae,DialogOptionSelected,$option == rebelrats_nazar_hireMurinae,"RemoveCommodity credits 256000
rebelrats_hireMercenary murinae
$rebelrats_gotMurinae = true","""Mmm, someone's got an eye for quality. Careful, though, these guys tend to be reckless in battle, keep an eye on them.""","rebelrats_nazar_buyEscortCredit:Return to list
rebelrats_nazar_escortOpt:""Can I ask for something else?""",
rebelrats_nazar_hireMastomys,DialogOptionSelected,$option == rebelrats_nazar_hireMastomys,"RemoveCommodity credits 290000
rebelrats_hireMercenary mastomys
$rebelrats_gotMastomys = true","""Outstanding choice! The Grand Company will whater you ask of them with sublime performance and outright decorum.""","rebelrats_nazar_buyEscortCredit:Return to list
rebelrats_nazar_escortOpt:""Can I ask for something else?""",
rebelrats_nazar_useRelEscort,DialogOptionSelected,$option == rebelrats_nazar_useRelEscort,FireAll rebelrats_nazarAppealResult,"""Curated list it is! First, background check if you're not some random riff raff. You aren't, right?""

Clickety clack as she typed away from behind the screen as her microphone betrays her attempted silence.",,
rebelrats_nazar_useRelSuccess,rebelrats_nazarAppealResult,$faction.relValue >= 0.5,,,rebelrats_nazar_useRelSuccess2:Wait,
rebelrats_nazar_useRelFail,rebelrats_nazarAppealResult,$faction.relValue < 0.5,,,rebelrats_nazar_useRelFailure:Wait,
rebelrats_nazar_useRelSuccess2,DialogOptionSelected,$option == rebelrats_nazar_useRelSuccess2,"DoCanAffordCheck 50000 rebelrats_nazar_hireThackery
rebelrats_doIsTrueCheck $rebelrats_gotOfficer rebelrats_nazar_hireThackery","""Ah hah! Yes, you are indeed allowed to access our curated list.""

A list on the screen unfurls to reveal names and icons of mercenaries and their prices. Seems like Krysans were not averse to the idea of selling their people's services to the Persean Sector, not that it was surprising as the practice was not uncommon especially with the League commonly selling their services.

""Here's the curated list, I'm sure you'll be satisfied of the selection.""

Your XO points to a particular one on the list, Himichi Thackery.","rebelrats_nazar_hireThackery: Hire Himichi Thackery
rebelrats_nazar_escortOpt: ""Nevermind""",
rebelrats_nazar_useRelFailure,DialogOptionSelected,$option == rebelrats_nazar_useRelFailure,,"""Ahh... Unfortunately, you have not been given permission to access the curated list.""",rebelrats_nazar_escortOpt:Unfortunate,
rebelrats_nazar_hireThackery,DialogOptionSelected,$option == rebelrats_nazar_hireThackery,"RemoveCommodity credits 50000
rebelrats_hireOfficer rebelrats_thackery
$rebelrats_gotOfficer = true","""Excellent choice! Captain Thackery will be joining you once you are ready to leave.""",rebelrats_nazar_escortOpt:...,
rebelrats_nazar_storyPointEscort,DialogOptionSelected,$option == rebelrats_nazar_storyPointEscort,"rebelrats_hireOfficer rebelrats_thackery
$rebelrats_gotOfficer = true","There was a comically long pause after having said that, as if the commlink had been cut off, yet only a snicker can be heard from the icon.

""Hahaha! I like that attitude, Starfarer! I think I know who would fit your fleet, give me a moment.""",rebelrats_nazar_escortOpt:...,
rebelrats_nazar_declineEscort,DialogOptionSelected,$option == rebelrats_nazar_declineEscort,FireAll PopulateOptions,"""Mmh, sure. You can ask again any other time if you're in need, provided you have credits of course!""",,
,,,,,,
# Commissioned Crews Effect,,,,,,
rebelrats_comissioned,ExerelinNGCStep3,"$playerFaction == rebelrats
!$rebelrats_changemind	","AddText ""Krysan Fervor: Krysan crews are renowned for their stalwart attitude towards battle, often making field repairs whenever a lull occurs to stay in battle longer.""
SetTextHighlights Krysan Fervor
$rebelrats_changemind = true 0",,,
#END Commissioned Crews Effect,,,,,,
#END Dialogues,,,,,,
#END default entity interaction,,,,,,
,,,,,,
